nID;sHead;sBody;sDate;nID_Subject;sMail;sContacts;sData;nID_SubjectMessageType;sBody_Indirectly;nID_HistoryEvent_Service;sSubjectInfo;sID_DataLink
1;head;body of subject message;2015-12-21 12:09:56.235;1;test@igov.org.ua;contact;data;1;Body Inderectly;3;info;
2;head2;;2015-12-21 12:09:56.235;1;test@igov.org.ua;contact;data;1;Body Inderectly;4;info;
3;head3;;2015-12-21 12:09:56.235;1;NULL;contact;data1;1;Body_Ind;5;info;
4;head4;;2015-12-21 12:09:56.235;1;;contact;data2;1;Body_Ind;6;info;
5;head5;;2015-12-21 12:09:56.236;1;test@igov.org.ua;contact;data3;1;Body_Ind;7;info;
6;head;body of subject message;2015-12-21 12:09:56.235;1;test@igov.org.ua;contact;data;1;Body Inderectly;3;info;
7;head2;;2015-12-21 12:09:56.235;1;test@igov.org.ua;contact;data;1;Body Inderectly;4;info;
8;head3;;2015-12-21 12:09:56.235;1;NULL;contact;data1;1;Body_Ind;5;info;
9;head4;;2015-12-21 12:09:56.235;1;;contact;data2;1;Body_Ind;6;info;
10;head5;;2015-12-21 12:09:56.236;1;test@igov.org.ua;contact;data3;1;Body_Ind;7;info;
11;head;body of subject message;2015-12-21 12:09:56.235;1;test@igov.org.ua;contact;data;1;Body Inderectly;3;info;
12;head2;;2015-12-21 12:09:56.235;1;test@igov.org.ua;contact;data;1;Body Inderectly;4;info;
13;head3;;2015-12-21 12:09:56.235;1;NULL;contact;data1;1;Body_Ind;5;info;
14;head4;;2015-12-21 12:09:56.235;1;;contact;data2;1;Body_Ind;6;info;
15;head5;;2015-12-21 12:09:56.236;1;test@igov.org.ua;contact;data3;1;Body_Ind;7;info;
16;head;body of subject message;2015-12-21 12:09:56.235;1;test@igov.org.ua;contact;data;1;Body Inderectly;3;info;
17;head2;;2015-12-21 12:09:56.235;1;test1@igov.org.ua;contact;data;1;Body Inderectly;4;info;
18;head3;;2015-12-21 12:09:56.235;1;NULL;contact;data1;1;Body_Ind;5;info;
19;head4;;2015-12-21 12:09:56.235;1;;contact;data2;1;Body_Ind;6;info;
20;head5;;2015-12-21 12:09:56.236;1;test1@igov.org.ua;contact;data3;1;Body_Ind;7;info;
21;head;body of subject message;2015-12-21 12:09:56.235;1;test@igov.org.ua;contact;data;1;Body Inderectly;3;info;
22;head2;;2015-12-21 12:09:56.235;1;test1@igov.org.ua;contact;data;1;Body Inderectly;4;info;
23;head3;;2015-12-21 12:09:56.235;1;NULL;contact;data1;1;Body_Ind;5;info;
24;head4;;2015-12-21 12:09:56.235;1;;contact;data2;1;Body_Ind;6;info;
25;head5;;2015-12-21 12:09:56.236;1;test1@igov.org.ua;contact;data3;1;Body_Ind;7;info;
