nID;sHead;sBody;sDate;nID_Subject;sMail;sContacts;sData;nID_SubjectMessageType;sBody_Indirectly;nID_HistoryEvent_Service
1;head;body of subject message;2015-12-21 12:09:56.235;1;test@igov.org.ua;contact;data;1;Body Inderectly;3
2;head2;;2015-12-21 12:09:56.235;1;test@igov.org.ua;contact;data;1;Body Inderectly;4
3;head3;;2015-12-21 12:09:56.235;1;NULL;contact;data1;1;Body_Ind;5
4;head4;;2015-12-21 12:09:56.235;1;;contact;data2;1;Body_Ind;6
5;head5;;2015-12-21 12:09:56.236;1;test@igov.org.ua;contact;data3;1;Body_Ind;7
6;head;body of subject message;2015-12-21 12:09:56.235;1;test@igov.org.ua;contact;data;1;Body Inderectly;3
7;head2;;2015-12-21 12:09:56.235;1;test@igov.org.ua;contact;data;1;Body Inderectly;4
8;head3;;2015-12-21 12:09:56.235;1;NULL;contact;data1;1;Body_Ind;5
9;head4;;2015-12-21 12:09:56.235;1;;contact;data2;1;Body_Ind;6
10;head5;;2015-12-21 12:09:56.236;1;test@igov.org.ua;contact;data3;1;Body_Ind;7
11;head;body of subject message;2015-12-21 12:09:56.235;1;test@igov.org.ua;contact;data;1;Body Inderectly;3
12;head2;;2015-12-21 12:09:56.235;1;test@igov.org.ua;contact;data;1;Body Inderectly;4
13;head3;;2015-12-21 12:09:56.235;1;NULL;contact;data1;1;Body_Ind;5
14;head4;;2015-12-21 12:09:56.235;1;;contact;data2;1;Body_Ind;6
15;head5;;2015-12-21 12:09:56.236;1;test@igov.org.ua;contact;data3;1;Body_Ind;7
16;head;body of subject message;2015-12-21 12:09:56.235;1;test@igov.org.ua;contact;data;1;Body Inderectly;3
17;head2;;2015-12-21 12:09:56.235;1;test1@igov.org.ua;contact;data;1;Body Inderectly;4
18;head3;;2015-12-21 12:09:56.235;1;NULL;contact;data1;1;Body_Ind;5
19;head4;;2015-12-21 12:09:56.235;1;;contact;data2;1;Body_Ind;6
20;head5;;2015-12-21 12:09:56.236;1;test1@igov.org.ua;contact;data3;1;Body_Ind;7
21;head;body of subject message;2015-12-21 12:09:56.235;1;test@igov.org.ua;contact;data;1;Body Inderectly;3
22;head2;;2015-12-21 12:09:56.235;1;test1@igov.org.ua;contact;data;1;Body Inderectly;4
23;head3;;2015-12-21 12:09:56.235;1;NULL;contact;data1;1;Body_Ind;5
24;head4;;2015-12-21 12:09:56.235;1;;contact;data2;1;Body_Ind;6
25;head5;;2015-12-21 12:09:56.236;1;test1@igov.org.ua;contact;data3;1;Body_Ind;7
